locationId,SafetyScore,Avg_Rent,date,numcrimes,numrentals
73,0,4200.0,20160909,113,1
16,0,1884.046296,20160920,109,54
67,5,699.0,20221231,44,1
47,0,1380.416058,20161109,101,137
16,7,1884.046296,20220905,87,54
47,0,1380.416058,20170212,46,137
16,0,1884.046296,20161020,71,54
1,6,2950.0,20190719,156,2
1,0,2950.0,20161017,130,2
47,5,1380.416058,20190618,142,137
6,0,2374.833333,20161229,46,6
7,6,2139.833333,20221231,44,6
90,7,975.0,20220712,143,1
0,8,2237.5,20220923,130,8
13,8,1648.5,20221127,109,9
47,0,1380.416058,20161027,98,137
67,0,699.0,20170723,63,1
47,6,1380.416058,20220927,123,137
16,0,1884.046296,20161026,111,54
1,7,2950.0,20220113,108,2
13,0,1648.5,20220729,110,9
90,0,975.0,20160909,113,1
21,0,2491.555556,20220512,137,9
5,0,2409.8,20161229,46,5
47,0,1380.416058,20170717,125,137
1,0,2950.0,20170904,50,2
90,0,975.0,20161026,111,1
1,7,2950.0,20221227,65,2
73,0,4200.0,20171209,62,1
90,0,975.0,20160729,84,1
67,0,699.0,20161010,62,1
0,6,2237.5,20190917,165,8
16,4,1884.046296,20220816,153,54
47,0,1380.416058,20170712,117,137
47,0,1380.416058,20170704,117,137
67,0,699.0,20170305,40,1
67,4,699.0,20220319,71,1
3,0,2300.0,20161017,130,1
47,0,1380.416058,20170131,66,137
0,6,2237.5,20220615,156,8
1,6,2950.0,20220109,68,2
1,0,2950.0,20160915,116,2
47,0,1380.416058,20161116,90,137
67,0,699.0,20171124,139,1
16,6,1884.046296,20210919,75,54
73,0,4200.0,20160922,105,1
1,6,2950.0,20220616,157,2
16,5,1884.046296,20190331,64,54
16,6,1884.046296,20220320,96,54
16,0,1884.046296,20170510,126,54
16,0,1884.046296,20170226,57,54
47,6,1380.416058,20181225,60,137
25,6,2148.6,20221225,38,10
16,5,1884.046296,20180822,161,54
73,0,4200.0,20170413,130,1
47,0,1380.416058,20171224,60,137
2,0,2300.0,20161009,56,2
1,0,2950.0,20161212,75,2
84,0,2612.5,20160808,132,3
0,0,2237.5,20161216,58,8
47,0,1380.416058,20171124,139,137
16,0,1884.046296,20170717,125,54
16,0,1884.046296,20160909,113,54
90,6,975.0,20180207,81,1
16,0,1884.046296,20160923,122,54
82,0,2746.785714,20160826,137,14
16,5,1884.046296,20190821,174,54
16,5,1884.046296,20201206,55,54
67,0,699.0,20160725,118,1
90,0,975.0,20170723,63,1
16,6,1884.046296,20220424,95,54
47,0,1380.416058,20171225,28,137
23,0,1513.333333,20171225,28,6
90,0,975.0,20160904,105,1
47,6,1380.416058,20181014,77,137
1,6,2950.0,20221106,88,2
16,0,1884.046296,20170207,67,54
90,5,975.0,20180720,154,1
73,0,4200.0,20160819,113,1
47,0,1380.416058,20170904,50,137
2,0,2300.0,20160901,129,2
84,0,2612.5,20160810,131,3
47,0,1380.416058,20170211,64,137
16,0,1884.046296,20170225,59,54
47,0,1380.416058,20161217,51,137
73,0,4200.0,20170131,66,1
1,0,2950.0,20160903,80,2
81,0,3251.8,20171225,28,5
73,0,4200.0,20170714,122,1
0,6,2237.5,20200412,37,8
84,0,2612.5,20161226,46,3
6,0,2374.833333,20161211,51,6
2,5,2300.0,20220608,157,2
23,0,1513.333333,20161224,50,6
16,5,1884.046296,20200503,61,54
16,4,1884.046296,20220909,127,54
16,5,1884.046296,20180621,147,54
6,0,2374.833333,20171225,28,6
5,0,2409.8,20161217,51,5
0,8,2237.5,20220612,114,8
47,0,1380.416058,20161103,86,137
47,0,1380.416058,20170629,80,137
73,0,4200.0,20170729,71,1
1,6,2950.0,20180822,161,2
16,5,1884.046296,20200614,64,54
3,6,2300.0,20220608,157,1
42,0,2357.96875,20171225,28,16
16,0,1884.046296,20161217,51,54
16,0,1884.046296,20160815,124,54
73,0,4200.0,20170623,129,1
1,6,2950.0,20220624,146,2
47,6,1380.416058,20220701,122,137
73,0,4200.0,20171224,60,1
81,0,3251.8,20160808,132,5
73,0,4200.0,20171020,124,1
67,0,699.0,20160717,69,1
6,6,2374.833333,20201225,31,6
16,5,1884.046296,20190719,156,54
90,0,975.0,20160928,83,1
67,0,699.0,20171223,58,1
47,0,1380.416058,20171023,119,137
73,0,4200.0,20170207,67,1
1,6,2950.0,20180311,66,2
23,6,1513.333333,20221231,44,6
47,0,1380.416058,20171010,117,137
1,6,2950.0,20190203,57,2
16,0,1884.046296,20160904,105,54
47,0,1380.416058,20160915,116,137
73,6,4200.0,20220115,84,1
84,6,2612.5,20220608,157,3
73,0,4200.0,20161010,62,1
51,0,3700.0,20160808,132,2
1,0,2950.0,20161001,112,2
1,0,2950.0,20161007,109,2
1,5,2950.0,20221005,145,2
1,6,2950.0,20220102,84,2
73,7,4200.0,20220527,148,1
67,0,699.0,20161219,76,1
47,0,1380.416058,20160918,73,137
49,6,1900.0,20221231,44,1
73,6,4200.0,20180207,81,1
90,0,975.0,20161030,75,1
47,6,1380.416058,20180918,128,137
47,0,1380.416058,20161106,86,137
47,6,1380.416058,20191004,140,137
1,6,2950.0,20210117,59,2
47,6,1380.416058,20211113,133,137
16,4,1884.046296,20220916,153,54
47,0,1380.416058,20161126,84,137
16,0,1884.046296,20170927,125,54
19,6,1379.75,20191029,170,4
63,6,1588.321429,20201225,31,14
16,0,1884.046296,20170904,50,54
47,0,1380.416058,20160726,105,137
19,0,1379.75,20170129,54,4
73,0,4200.0,20160808,132,1
1,6,2950.0,20180816,145,2
47,0,1380.416058,20170825,121,137
3,0,2300.0,20170904,50,1
73,0,4200.0,20170102,45,1
16,6,1884.046296,20221219,85,54
1,6,2950.0,20220818,144,2
60,6,1168.75,20180211,49,4
73,0,4200.0,20171210,68,1
47,6,1380.416058,20191015,155,137
16,5,1884.046296,20210215,65,54
1,0,2950.0,20161205,111,2
47,0,1380.416058,20160916,92,137
47,0,1380.416058,20171221,61,137
90,0,975.0,20160730,85,1
1,0,2950.0,20160725,118,2
16,0,1884.046296,20170311,69,54
73,0,4200.0,20170522,67,1
67,0,699.0,20160912,116,1
81,0,3251.8,20171124,139,5
54,0,3654.166667,20171225,28,12
47,0,1380.416058,20161218,57,137
84,0,2612.5,20170305,40,3
1,0,2950.0,20160805,128,2
0,8,2237.5,20210214,72,8
16,0,1884.046296,20160903,80,54
47,0,1380.416058,20170723,63,137
73,0,4200.0,20161215,81,1
73,0,4200.0,20160718,120,1
0,5,2237.5,20201226,36,8
16,0,1884.046296,20171221,61,54
1,6,2950.0,20220911,87,2
1,6,2950.0,20221223,70,2
51,0,3700.0,20161217,51,2
1,0,2950.0,20160803,123,2
16,0,1884.046296,20161001,112,54
1,6,2950.0,20180601,138,2
47,0,1380.416058,20161013,93,137
81,0,3251.8,20161231,61,5
22,0,1764.75,20161225,36,8
82,0,2746.785714,20161226,46,14
1,0,2950.0,20160831,115,2
47,0,1380.416058,20161226,46,137
1,0,2950.0,20161221,73,2
73,6,4200.0,20190710,147,1
1,0,2950.0,20160821,63,2
47,0,1380.416058,20170114,67,137
67,0,699.0,20171227,65,1
42,6,2357.96875,20221225,38,16
1,7,2950.0,20220822,119,2
67,6,699.0,20190625,159,1
67,0,699.0,20161115,117,1
